supplier_id,total_shipments,avg_delay_days,max_delay_days,on_time_rate,avg_defect_units,total_spend,avg_order_value,recent_90d_on_time_rate,supplier_risk_score,risk_tier
SUP-01,346,0.838150289017341,14,0.8757225433526011,17.815028901734102,25331558.26,73212.59612716764,0.8,0.2382358614581208,MEDIUM
SUP-02,431,0.19953596287703015,14,0.9651972157772621,3.2018561484918795,47669144.22,110601.26269141531,0.9444444444444444,0.05413539503222195,LOW
SUP-03,323,1.9256965944272446,14,0.7430340557275542,37.35294117647059,19317074.08,59805.18291021671,0.8461538461538461,0.5152118567877026,HIGH
SUP-04,407,0.5896805896805897,14,0.9213759213759214,9.734643734643734,31145532.56,76524.65002457002,0.8529411764705882,0.14923018855470457,LOW
SUP-05,413,2.135593220338983,14,0.711864406779661,37.49878934624697,30396086.32,73598.27196125907,0.7714285714285715,0.5533504820345585,HIGH
SUP-06,414,0.41304347826086957,13,0.9444444444444444,7.859903381642512,32212180.13,77807.1983816425,0.9444444444444444,0.10996881515474216,LOW
SUP-07,346,0.6502890173410405,14,0.9277456647398844,13.297687861271676,19249248.33,55633.66569364161,0.8666666666666667,0.17013652862801953,LOW
SUP-08,404,0.9356435643564357,14,0.8762376237623762,15.787128712871286,28985494.06,71746.27242574257,0.9428571428571428,0.23799137714148294,MEDIUM
SUP-09,388,0.5077319587628866,14,0.9304123711340206,7.974226804123711,14277021.92,36796.44824742268,0.9117647058823529,0.12740159810994453,LOW
SUP-10,365,0.40821917808219177,14,0.9397260273972603,7.13972602739726,26563530.6,72776.79616438356,0.9354838709677419,0.10823079681942488,LOW
SUP-11,307,0.6091205211726385,14,0.9120521172638436,10.703583061889251,13232453.82,43102.45543973942,0.9629629629629629,0.16075106915881168,LOW
SUP-12,322,2.8850931677018634,14,0.6645962732919255,40.059006211180126,25863605.68,80321.75677018633,0.6428571428571429,0.6677018633540373,HIGH
SUP-13,372,1.6290322580645162,14,0.7741935483870968,27.225806451612904,29780929.98,80056.26338709677,0.75,0.4182230407046036,HIGH
SUP-14,369,0.6368563685636857,14,0.9024390243902439,12.566395663956639,34421668.62,93283.65479674796,0.7419354838709677,0.17774200959420078,LOW
SUP-15,402,0.09701492537313433,14,0.9875621890547264,2.990049751243781,34471477.3,85749.94353233831,1.0,0.031235014143722206,LOW
SUP-16,414,0.9565217391304348,14,0.855072463768116,18.985507246376812,33279295.68,80384.77217391304,0.8857142857142857,0.2667132646251159,MEDIUM
SUP-17,400,0.525,13,0.9175,9.1725,10886449.63,27216.124075000003,0.9714285714285714,0.14163590336397602,LOW
SUP-18,346,0.6329479768786127,14,0.9190751445086706,13.260115606936417,18115034.12,52355.58994219654,0.9655172413793104,0.17248103464182743,LOW
SUP-19,357,1.1036414565826331,14,0.8571428571428571,19.294117647058822,31030210.76,86919.35787114846,0.9,0.282516763851291,MEDIUM
SUP-20,377,1.323607427055703,14,0.8090185676392573,26.70822281167109,27868905.16,73922.82535809018,0.7272727272727273,0.36646750268882333,MEDIUM
