supplier_id,on_time_rate,avg_delay_days,avg_defect_units,supplier_risk_score,predicted_risk_score,predicted_risk_tier
SUP-01,0.8757225433526011,0.838150289017341,17.815028901734102,0.2382358614581208,0.21082048,MEDIUM
SUP-02,0.965197215777262,0.1995359628770301,3.2018561484918795,0.0541353950322219,0.18055652,LOW
SUP-03,0.7430340557275542,1.9256965944272448,37.35294117647059,0.5152118567877026,0.3927404,MEDIUM
SUP-04,0.9213759213759214,0.5896805896805897,9.734643734643734,0.1492301885547045,0.18055652,LOW
SUP-05,0.711864406779661,2.135593220338983,37.49878934624697,0.5533504820345585,0.3927404,MEDIUM
SUP-06,0.9444444444444444,0.4130434782608695,7.859903381642512,0.1099688151547421,0.18055652,LOW
SUP-07,0.9277456647398844,0.6502890173410405,13.297687861271676,0.1701365286280195,0.18055652,LOW
SUP-08,0.8762376237623762,0.9356435643564356,15.787128712871286,0.2379913771414829,0.2305242,MEDIUM
SUP-09,0.9304123711340206,0.5077319587628866,7.974226804123711,0.1274015981099445,0.18055652,LOW
SUP-10,0.9397260273972604,0.4082191780821917,7.13972602739726,0.1082307968194248,0.18055652,LOW
SUP-11,0.9120521172638436,0.6091205211726385,10.703583061889251,0.1607510691588116,0.18055652,LOW
SUP-12,0.6645962732919255,2.8850931677018634,40.059006211180126,0.6677018633540373,0.3927404,MEDIUM
SUP-13,0.7741935483870968,1.6290322580645162,27.225806451612904,0.4182230407046036,0.37528983,MEDIUM
SUP-14,0.902439024390244,0.6368563685636857,12.56639566395664,0.1777420095942007,0.18055652,LOW
SUP-15,0.9875621890547264,0.0970149253731343,2.990049751243781,0.0312350141437222,0.18055652,LOW
SUP-16,0.855072463768116,0.9565217391304348,18.98550724637681,0.2667132646251159,0.2550212,MEDIUM
SUP-17,0.9175,0.525,9.1725,0.141635903363976,0.18055652,LOW
SUP-18,0.9190751445086706,0.6329479768786127,13.260115606936417,0.1724810346418274,0.18055652,LOW
SUP-19,0.8571428571428571,1.1036414565826331,19.294117647058822,0.282516763851291,0.27111349,MEDIUM
SUP-20,0.8090185676392573,1.323607427055703,26.70822281167109,0.3664675026888233,0.3376856,MEDIUM
