product_id,avg_actual_demand,avg_predicted_demand,forecast_accuracy
PROD-0001,30.18323061630219,30.202795,0.7465712793918475
PROD-0002,51.23013916500994,51.31536,0.6797352596092994
PROD-0003,91.46024850894632,91.425735,0.8635269869808337
PROD-0004,16.915427435387674,17.073004,0.8818975304381362
PROD-0005,22.57482107355865,22.522278,0.9229935016193177
PROD-0006,29.46389662027833,29.523912,0.7369633804044187
PROD-0007,51.17515904572564,51.363537,0.678892384669217
PROD-0008,93.40062624254473,93.12329,0.8560204515370269
PROD-0009,17.107445328031808,17.209768,0.8893431115676425
PROD-0010,22.575298210735586,22.49225,0.9231169565388784
PROD-0011,30.206441351888667,30.167141,0.7445447131042269
PROD-0012,51.6141153081511,51.37962,0.6845405522410857
PROD-0013,92.12802186878727,92.33994,0.8624781157717949
PROD-0014,17.197952286282305,17.31599,0.8862403530994305
PROD-0015,22.812524850894633,22.73758,0.9222932960547288
PROD-0016,30.35807157057654,30.388342,0.7468599309581585
PROD-0017,51.39892644135189,51.112114,0.6834289947368024
PROD-0018,92.4174453280318,92.34334,0.8643140286847774
PROD-0019,17.084413518886677,17.20067,0.8818869810615328
PROD-0020,22.46560636182903,22.422346,0.922524339877066
PROD-0021,29.295775347912524,29.33355,0.7410260727432039
PROD-0022,50.719045725646126,50.7565,0.6938653361087974
PROD-0023,90.10123260437375,90.13163,0.8705164330300641
PROD-0024,17.123846918489065,17.26523,0.8840477466019958
PROD-0025,22.57108349900596,22.53286,0.9213482698441
PROD-0026,29.59304174950298,29.614368,0.7416533596515511
PROD-0027,49.69104373757455,49.625187,0.6812881606349728
PROD-0028,92.890675944334,92.85922,0.8603260508643247
PROD-0029,17.146878727634192,17.239199,0.8888776214587332
PROD-0030,22.640894632206763,22.55748,0.9190673389974962
PROD-0031,30.639711729622267,30.631939,0.7362265192975515
PROD-0032,50.38452286282306,50.60836,0.6789574492841097
PROD-0033,91.05830019880715,91.416725,0.8620245917019682
PROD-0034,17.149393638170974,17.25558,0.888805069264328
PROD-0035,22.62416500994036,22.574827,0.9288543354787278
PROD-0036,30.45497017892644,30.472038,0.739717552664596
PROD-0037,52.24581510934394,52.14092,0.6916408716480704
PROD-0038,92.54953280318091,92.59712,0.8586953710175376
PROD-0039,17.210914512922464,17.323362,0.8838313705868359
PROD-0040,22.427226640159045,22.374752,0.9214713154657558
PROD-0041,29.900000000000002,29.785437,0.7654832730887144
PROD-0042,51.22138170974155,51.2654,0.6875825716935462
PROD-0043,90.36916500994036,90.372406,0.8584069573272799
PROD-0044,16.979512922465208,17.107748,0.8858407152092055
PROD-0045,22.622326043737576,22.560162,0.9200045355623849
PROD-0046,29.892823061630217,29.84198,0.7544404826479778
PROD-0047,50.21057654075546,50.086163,0.6849840420148909
PROD-0048,92.50277335984094,92.40663,0.8673288782074169
PROD-0049,17.24733598409543,17.351473,0.8801663811399761
PROD-0050,22.753767395626245,22.651194,0.9207974901168839
PROD-0051,29.779055666003977,29.79664,0.7431122434937238
PROD-0052,51.101133200795225,51.137012,0.6775070607166398
PROD-0053,91.47323061630219,91.50057,0.8654482688287397
PROD-0054,17.210347912524853,17.333328,0.8884164523200522
PROD-0055,22.9060337972167,22.8413,0.9249638362364627
PROD-0056,30.480934393638172,30.465328,0.7452685050631028
PROD-0057,51.62909542743539,51.73543,0.6831387468482498
PROD-0058,92.68077534791253,92.41519,0.8584801545547728
PROD-0059,17.335745526838963,17.41012,0.8852101716291917
PROD-0060,22.407733598409543,22.365082,0.9225359617972134
PROD-0061,30.095854870775348,30.032686,0.7430369039341685
PROD-0062,50.220506958250496,50.30502,0.6935727983684488
PROD-0063,91.31908548707753,91.34306,0.8624696864880602
PROD-0064,16.886918489065607,17.069782,0.8848973424665509
PROD-0065,22.587564612326045,22.523497,0.9217287568442597
PROD-0066,29.76968190854871,29.839624,0.7495709897945746
PROD-0067,52.553986083499005,52.55751,0.6879782364113178
PROD-0068,92.39876739562625,92.334694,0.8625941011941599
PROD-0069,17.051123260437375,17.152685,0.8910099785996558
PROD-0070,22.8891351888668,22.803669,0.9216809179233305
PROD-0071,29.732087475149104,29.76911,0.7307455624955574
PROD-0072,51.336838966202784,51.22935,0.6799853547660715
PROD-0073,91.8105268389662,92.008675,0.8606350629524033
PROD-0074,17.10230616302187,17.206648,0.8863983782167258
PROD-0075,22.908648111332006,22.862274,0.9227055084278041
PROD-0076,29.74196819085487,29.712723,0.7546449579208169
PROD-0077,50.79681908548707,50.652534,0.6856478230515062
PROD-0078,92.94300198807157,92.89678,0.8618706211183931
PROD-0079,17.077007952286284,17.176092,0.8918326567953798
PROD-0080,22.499244532803182,22.423012,0.9220785204590173
PROD-0081,29.380457256461234,29.38842,0.7404842531494878
PROD-0082,50.64217693836978,50.72546,0.6924382715359514
PROD-0083,91.5994731610338,91.566376,0.8579638752621717
PROD-0084,17.01861829025845,17.231203,0.8815545005368781
PROD-0085,22.654960238568588,22.596697,0.9207187884622562
PROD-0086,29.606491053677935,29.545666,0.7466396103765678
PROD-0087,49.71749502982107,49.691772,0.6706094149288497
PROD-0088,92.42366799204773,92.48347,0.8610194469786118
PROD-0089,17.096212723658052,17.187077,0.8880075615114584
PROD-0090,22.625109343936384,22.542986,0.9234730267440437
PROD-0091,30.136302186878726,30.11473,0.7426880027772184
PROD-0092,51.267186878727635,51.103592,0.6912950507188282
PROD-0093,91.15467196819085,91.23808,0.8605762190213396
PROD-0094,17.229264413518887,17.304022,0.8864875811226895
PROD-0095,22.747673956262425,22.68119,0.9233184265850017
PROD-0096,29.925139165009938,29.948336,0.7446018046369868
PROD-0097,50.3772365805169,50.169765,0.6827158947531224
PROD-0098,94.2793041749503,93.98702,0.8641443829015455
PROD-0099,17.20892644135189,17.30973,0.883959702473294
PROD-0100,22.409850894632207,22.350946,0.9220035981589665
