product_id,inventory_holding_cost,stockout_cost,total_cost_impact
PROD-0001,82878.0,0,82878.0
PROD-0001,84010.0,0,84010.0
PROD-0002,70080.0,0,70080.0
PROD-0003,82306.0,0,82306.0
PROD-0004,69884.0,0,69884.0
PROD-0004,87842.0,0,87842.0
PROD-0005,53164.0,0,53164.0
PROD-0005,91672.0,0,91672.0
PROD-0005,174192.0,0,174192.0
PROD-0006,164766.0,0,164766.0
PROD-0006,77176.0,0,77176.0
PROD-0007,119816.0,0,119816.0
PROD-0008,136230.0,0,136230.0
PROD-0009,80610.0,0,80610.0
PROD-0009,64414.0,0,64414.0
PROD-0010,56522.0,0,56522.0
PROD-0010,135468.0,0,135468.0
PROD-0010,81038.0,0,81038.0
PROD-0011,67664.0,0,67664.0
PROD-0011,130404.0,0,130404.0
PROD-0012,101376.0,0,101376.0
PROD-0013,148510.0,0,148510.0
PROD-0013,86578.0,0,86578.0
PROD-0014,93688.0,0,93688.0
PROD-0014,172736.0,0,172736.0
PROD-0014,70070.0,0,70070.0
PROD-0015,123636.0,0,123636.0
PROD-0016,146386.0,0,146386.0
PROD-0017,180546.0,0,180546.0
PROD-0017,52096.0,0,52096.0
PROD-0018,144528.0,0,144528.0
PROD-0019,77246.0,0,77246.0
PROD-0019,140386.0,0,140386.0
PROD-0019,111022.0,0,111022.0
PROD-0020,139966.0,0,139966.0
PROD-0020,155268.0,0,155268.0
PROD-0020,120074.0,0,120074.0
PROD-0021,67204.0,0,67204.0
PROD-0022,141916.0,0,141916.0
PROD-0023,115578.0,0,115578.0
PROD-0024,85946.0,0,85946.0
PROD-0024,83836.0,0,83836.0
PROD-0024,116430.0,0,116430.0
PROD-0025,117740.0,0,117740.0
PROD-0025,75166.0,0,75166.0
PROD-0025,75786.0,0,75786.0
PROD-0026,67200.0,0,67200.0
PROD-0027,44310.0,0,44310.0
PROD-0027,77126.0,0,77126.0
PROD-0028,51516.0,0,51516.0
PROD-0029,120862.0,0,120862.0
PROD-0030,123486.0,0,123486.0
PROD-0030,60546.0,0,60546.0
PROD-0031,70096.0,0,70096.0
PROD-0031,78236.0,0,78236.0
PROD-0032,102400.0,0,102400.0
PROD-0033,37380.0,0,37380.0
PROD-0033,122964.0,0,122964.0
PROD-0033,71278.0,0,71278.0
PROD-0034,94626.0,0,94626.0
PROD-0035,122068.0,0,122068.0
PROD-0036,148882.0,0,148882.0
PROD-0037,111886.0,0,111886.0
PROD-0037,99200.0,0,99200.0
PROD-0037,70440.0,0,70440.0
PROD-0038,74394.0,0,74394.0
PROD-0039,38076.0,0,38076.0
PROD-0040,117260.0,0,117260.0
PROD-0040,42854.0,0,42854.0
PROD-0041,89576.0,0,89576.0
PROD-0041,137578.0,0,137578.0
PROD-0041,85904.0,0,85904.0
PROD-0042,163904.0,0,163904.0
PROD-0043,74518.0,0,74518.0
PROD-0044,87530.0,0,87530.0
PROD-0044,79460.0,0,79460.0
PROD-0045,47790.0,0,47790.0
PROD-0046,92986.0,0,92986.0
PROD-0046,65656.0,0,65656.0
PROD-0047,183624.0,0,183624.0
PROD-0047,135036.0,0,135036.0
PROD-0047,98556.0,0,98556.0
PROD-0048,84772.0,0,84772.0
PROD-0049,116440.0,0,116440.0
PROD-0050,106856.0,0,106856.0
PROD-0050,43124.0,0,43124.0
PROD-0050,109846.0,0,109846.0
PROD-0051,111034.0,0,111034.0
PROD-0051,98984.0,0,98984.0
PROD-0052,166564.0,0,166564.0
PROD-0053,103050.0,0,103050.0
PROD-0053,46540.0,0,46540.0
PROD-0054,178792.0,0,178792.0
PROD-0054,70212.0,0,70212.0
PROD-0055,73732.0,0,73732.0
PROD-0055,48706.0,0,48706.0
PROD-0055,69258.0,0,69258.0
PROD-0056,126540.0,0,126540.0
PROD-0056,84804.0,0,84804.0
PROD-0057,73464.0,0,73464.0
PROD-0057,143174.0,0,143174.0
PROD-0058,81662.0,0,81662.0
PROD-0058,139678.0,0,139678.0
PROD-0059,62614.0,0,62614.0
PROD-0059,158384.0,0,158384.0
PROD-0060,121972.0,0,121972.0
PROD-0060,68744.0,0,68744.0
PROD-0060,68562.0,0,68562.0
PROD-0061,68242.0,0,68242.0
PROD-0061,138422.0,0,138422.0
PROD-0061,190450.0,0,190450.0
PROD-0062,63084.0,0,63084.0
PROD-0062,112316.0,0,112316.0
PROD-0063,152630.0,0,152630.0
PROD-0064,95912.0,0,95912.0
PROD-0064,169710.0,0,169710.0
PROD-0065,86656.0,0,86656.0
PROD-0065,65708.0,0,65708.0
PROD-0066,109148.0,0,109148.0
PROD-0067,88524.0,0,88524.0
PROD-0067,157162.0,0,157162.0
PROD-0067,144752.0,0,144752.0
PROD-0068,148060.0,0,148060.0
PROD-0068,163364.0,0,163364.0
PROD-0069,166896.0,0,166896.0
PROD-0069,81432.0,0,81432.0
PROD-0069,132426.0,0,132426.0
PROD-0070,70134.0,0,70134.0
PROD-0070,130200.0,0,130200.0
PROD-0070,157986.0,0,157986.0
PROD-0071,101012.0,0,101012.0
PROD-0071,163630.0,0,163630.0
PROD-0072,75642.0,0,75642.0
PROD-0072,85278.0,0,85278.0
PROD-0072,55988.0,0,55988.0
PROD-0073,164526.0,0,164526.0
PROD-0073,46406.0,0,46406.0
PROD-0073,68256.0,0,68256.0
PROD-0074,143690.0,0,143690.0
PROD-0074,193000.0,0,193000.0
PROD-0075,65852.0,0,65852.0
PROD-0075,58254.0,0,58254.0
PROD-0075,106244.0,0,106244.0
PROD-0076,69542.0,0,69542.0
PROD-0076,175198.0,0,175198.0
PROD-0077,173610.0,0,173610.0
PROD-0078,50698.0,0,50698.0
PROD-0078,175724.0,0,175724.0
PROD-0078,122596.0,0,122596.0
PROD-0079,141008.0,0,141008.0
PROD-0079,147400.0,0,147400.0
PROD-0080,88494.0,0,88494.0
PROD-0081,66498.0,0,66498.0
PROD-0081,188208.0,0,188208.0
PROD-0082,102908.0,0,102908.0
PROD-0082,139358.0,0,139358.0
PROD-0082,92322.0,0,92322.0
PROD-0083,105318.0,0,105318.0
PROD-0083,114782.0,0,114782.0
PROD-0083,190566.0,0,190566.0
PROD-0084,91936.0,0,91936.0
PROD-0084,70720.0,0,70720.0
PROD-0084,108848.0,0,108848.0
PROD-0085,106028.0,0,106028.0
PROD-0085,54372.0,0,54372.0
PROD-0085,115534.0,0,115534.0
PROD-0086,61888.0,0,61888.0
PROD-0087,110684.0,0,110684.0
PROD-0087,141194.0,0,141194.0
PROD-0088,83710.0,0,83710.0
PROD-0089,72990.0,0,72990.0
PROD-0090,79142.0,0,79142.0
PROD-0091,100084.0,0,100084.0
PROD-0091,115228.0,0,115228.0
PROD-0092,73684.0,0,73684.0
PROD-0092,87988.0,0,87988.0
PROD-0093,87710.0,0,87710.0
PROD-0093,163438.0,0,163438.0
PROD-0093,147600.0,0,147600.0
PROD-0094,102346.0,0,102346.0
PROD-0095,89804.0,0,89804.0
PROD-0095,125154.0,0,125154.0
PROD-0095,83050.0,0,83050.0
PROD-0096,95962.0,0,95962.0
PROD-0096,178772.0,0,178772.0
PROD-0096,40384.0,0,40384.0
PROD-0097,140396.0,0,140396.0
PROD-0097,141978.0,0,141978.0
PROD-0097,56888.0,0,56888.0
PROD-0098,89596.0,0,89596.0
PROD-0098,127312.0,0,127312.0
PROD-0098,103390.0,0,103390.0
PROD-0099,75874.0,0,75874.0
PROD-0099,105570.0,0,105570.0
PROD-0099,65152.0,0,65152.0
PROD-0100,136328.0,0,136328.0
PROD-0100,73916.0,0,73916.0
PROD-0100,101940.0,0,101940.0
