product_id,warehouse_id,current_stock,safety_stock,reorder_point,inventory_days,avg_daily_sales,total_daily_sales,demand_spike,is_delayed,total_delays,avg_delay_days,timestamp,predicted_demand,days_until_stockout,supplier_lead_time,reorder_quantity,stockout_risk,alert_message
PROD-0001,WH-03,41439.0,6573.0,13991.0,1879.6776315789475,22.04580152671756,5776.0,False,False,0,0.0,0.0,22.173487,1868.8535791743057,18.65,0.0,False,Product PROD-0001 stock level healthy.
PROD-0001,WH-02,42005.0,7238.0,12248.0,1905.3514542936289,22.04580152671756,5776.0,False,False,0,0.0,0.0,22.099773,1900.698221038254,18.65,0.0,False,Product PROD-0001 stock level healthy.
PROD-0002,WH-05,35040.0,5101.0,9127.0,1563.9659284497443,22.404580152671755,5870.0,False,False,0,0.0,0.0,22.42409,1562.6052556839809,16.8125,0.0,False,Product PROD-0002 stock level healthy.
PROD-0003,WH-02,41153.0,11246.0,21143.0,1894.010403808852,21.72796934865901,5671.0,False,False,0,0.0,0.0,22.085169,1863.377196748352,14.85,0.0,False,Product PROD-0003 stock level healthy.
PROD-0004,WH-02,34942.0,6043.0,11301.0,1594.4769176136365,21.914396887159533,5632.0,False,False,0,0.0,0.0,22.098999,1581.1575883116525,15.4,0.0,False,Product PROD-0004 stock level healthy.
PROD-0004,WH-05,43921.0,6737.0,16415.0,2004.2075639204545,21.914396887159533,5632.0,False,False,0,0.0,0.0,21.98479,1997.790217589904,15.4,0.0,False,Product PROD-0004 stock level healthy.
PROD-0005,WH-01,26582.0,6033.0,12271.0,1244.6421404682274,21.357142857142858,5681.0,False,False,0,0.0,0.0,21.717854,1223.969944521583,19.285714285714285,0.0,False,Product PROD-0005 stock level healthy.
PROD-0005,WH-05,45836.0,8821.0,15612.0,2146.167224080268,21.357142857142858,5681.0,False,False,0,0.0,0.0,21.488417,2133.0561809261912,19.285714285714285,0.0,False,Product PROD-0005 stock level healthy.
PROD-0005,WH-04,87096.0,20696.0,35589.0,4078.0735785953175,21.357142857142858,5681.0,False,False,0,0.0,0.0,21.402962,4069.343350459073,19.285714285714285,0.0,False,Product PROD-0005 stock level healthy.
PROD-0006,WH-04,82383.0,21024.0,36351.0,3673.032671480145,22.42914979757085,5540.0,False,False,0,0.0,0.0,22.36621,3683.368641662664,18.94736842105263,0.0,False,Product PROD-0006 stock level healthy.
PROD-0006,WH-03,38588.0,6293.0,11124.0,1720.4397111913356,22.42914979757085,5540.0,False,False,0,0.0,0.0,22.182905,1739.5377051410244,18.94736842105263,0.0,False,Product PROD-0006 stock level healthy.
PROD-0007,WH-01,59908.0,12786.0,28358.0,2716.618028890108,22.052419354838708,5469.0,False,False,0,0.0,0.0,22.271856,2689.8521242042066,16.63157894736842,0.0,False,Product PROD-0007 stock level healthy.
PROD-0008,WH-05,68115.0,12201.0,29459.0,2769.3439094387754,24.59607843137255,6272.0,False,False,0,0.0,0.0,23.630516,2882.5015860593376,17.77777777777778,0.0,False,Product PROD-0008 stock level healthy.
PROD-0009,WH-05,40305.0,5156.0,11575.0,1751.7892114756914,23.00790513833992,5821.0,False,False,0,0.0,0.0,22.837343,1764.872543136442,14.785714285714286,0.0,False,Product PROD-0009 stock level healthy.
PROD-0009,WH-02,32207.0,8032.0,15489.0,1399.8232262497852,23.00790513833992,5821.0,False,False,0,0.0,0.0,22.914192,1405.5481301414493,14.785714285714286,0.0,False,Product PROD-0009 stock level healthy.
PROD-0010,WH-02,28261.0,4065.0,10152.0,1211.1857142857143,23.33333333333333,5950.0,False,False,0,0.0,0.0,22.059046,1281.1524245862167,17.31578947368421,0.0,False,Product PROD-0010 stock level healthy.
PROD-0010,WH-03,67734.0,8004.0,12383.0,2902.8857142857146,23.33333333333333,5950.0,False,False,0,0.0,0.0,22.800587,2970.7130298842053,17.31578947368421,0.0,False,Product PROD-0010 stock level healthy.
PROD-0010,WH-04,40519.0,9136.0,20940.0,1736.5285714285717,23.33333333333333,5950.0,False,False,0,0.0,0.0,23.088694,1754.9282202372965,17.31578947368421,0.0,False,Product PROD-0010 stock level healthy.
PROD-0011,WH-02,33832.0,5986.0,12545.0,1485.2285668840466,22.77898550724637,6287.0,False,False,0,0.0,0.0,22.785013,1484.8356551184174,13.5,0.0,False,Product PROD-0011 stock level healthy.
PROD-0011,WH-03,65202.0,9798.0,20117.0,2862.375059646891,22.77898550724637,6287.0,False,False,0,0.0,0.0,23.191467,2811.465061623448,13.5,0.0,False,Product PROD-0011 stock level healthy.
PROD-0012,WH-01,50688.0,6230.0,14857.0,2381.759462987134,21.28174603174603,5363.0,False,False,0,0.0,0.0,21.702795,2335.551708109538,16.0,0.0,False,Product PROD-0012 stock level healthy.
PROD-0013,WH-05,74255.0,12477.0,22377.0,3146.965734896304,23.595744680851062,5545.0,False,False,0,0.0,0.0,23.294304,3187.689159451086,15.666666666666666,0.0,False,Product PROD-0013 stock level healthy.
PROD-0013,WH-04,43289.0,4356.0,9679.0,1834.61045987376,23.595744680851062,5545.0,False,False,0,0.0,0.0,23.173527,1868.036766307242,15.666666666666666,0.0,False,Product PROD-0013 stock level healthy.
PROD-0014,WH-05,46844.0,9374.0,15735.0,2093.28,22.37827715355805,5975.0,False,False,0,0.0,0.0,22.34219,2096.6610901964546,20.666666666666668,0.0,False,Product PROD-0014 stock level healthy.
