product_id,current_stock,predicted_demand,days_until_stockout,reorder_quantity,health_status,health_score
PROD-0001,41439.0,22.173487,1868.8535791743057,0.0,GOOD,100
PROD-0001,42005.0,22.099773,1900.698221038254,0.0,GOOD,100
PROD-0002,35040.0,22.42409,1562.6052556839809,0.0,GOOD,100
PROD-0003,41153.0,22.085169,1863.377196748352,0.0,GOOD,100
PROD-0004,34942.0,22.098999,1581.1575883116525,0.0,GOOD,100
PROD-0004,43921.0,21.98479,1997.790217589904,0.0,GOOD,100
PROD-0005,26582.0,21.717854,1223.969944521583,0.0,GOOD,100
PROD-0005,45836.0,21.488417,2133.0561809261912,0.0,GOOD,100
PROD-0005,87096.0,21.402962,4069.343350459073,0.0,GOOD,100
PROD-0006,82383.0,22.36621,3683.368641662664,0.0,GOOD,100
PROD-0006,38588.0,22.182905,1739.5377051410244,0.0,GOOD,100
PROD-0007,59908.0,22.271856,2689.8521242042066,0.0,GOOD,100
PROD-0008,68115.0,23.630516,2882.5015860593376,0.0,GOOD,100
PROD-0009,40305.0,22.837343,1764.872543136442,0.0,GOOD,100
PROD-0009,32207.0,22.914192,1405.5481301414493,0.0,GOOD,100
PROD-0010,28261.0,22.059046,1281.1524245862167,0.0,GOOD,100
PROD-0010,67734.0,22.800587,2970.7130298842053,0.0,GOOD,100
PROD-0010,40519.0,23.088694,1754.9282202372965,0.0,GOOD,100
PROD-0011,33832.0,22.785013,1484.8356551184174,0.0,GOOD,100
PROD-0011,65202.0,23.191467,2811.465061623448,0.0,GOOD,100
PROD-0012,50688.0,21.702795,2335.551708109538,0.0,GOOD,100
PROD-0013,74255.0,23.294304,3187.689159451086,0.0,GOOD,100
PROD-0013,43289.0,23.173527,1868.036766307242,0.0,GOOD,100
PROD-0014,46844.0,22.34219,2096.6610901964546,0.0,GOOD,100
PROD-0014,86368.0,21.494507,4018.142898519448,0.0,GOOD,100
PROD-0014,35035.0,22.332188,1568.8118219775072,0.0,GOOD,100
PROD-0015,61818.0,22.713272,2721.668623621717,0.0,GOOD,100
PROD-0016,73193.0,23.326355,3137.781280499452,0.0,GOOD,100
PROD-0017,90273.0,22.551567,4002.9590710580505,0.0,GOOD,100
PROD-0017,26048.0,22.441809,1160.6907601591065,0.0,GOOD,100
PROD-0018,72264.0,22.441235,3220.143691944445,0.0,GOOD,100
PROD-0019,38623.0,21.63401,1785.2908193043268,0.0,GOOD,100
PROD-0019,70193.0,21.983688,3192.9582910802424,0.0,GOOD,100
PROD-0019,55511.0,21.748446,2552.4123079173605,0.0,GOOD,100
PROD-0020,69983.0,22.661787,3088.150104748612,0.0,GOOD,100
PROD-0020,77634.0,22.73267,3415.085011107973,0.0,GOOD,100
PROD-0020,60037.0,22.664757,2648.914373812365,0.0,GOOD,100
PROD-0021,33602.0,22.434988,1497.7498524747723,0.0,GOOD,100
PROD-0022,70958.0,21.904835,3239.376184232547,0.0,GOOD,100
PROD-0023,57789.0,22.016611,2624.790879009828,0.0,GOOD,100
PROD-0024,42973.0,22.13728,1941.2051051540068,0.0,GOOD,100
PROD-0024,41918.0,22.099773,1896.761529091335,0.0,GOOD,100
PROD-0024,58215.0,22.162188,2626.7713780326626,0.0,GOOD,100
PROD-0025,58870.0,22.066813,2667.8071406684808,0.0,GOOD,100
PROD-0025,37583.0,21.592428,1740.5638513191511,0.0,GOOD,100
PROD-0025,37893.0,21.90251,1730.0757099291725,0.0,GOOD,100
PROD-0026,33600.0,22.958656,1463.500282629783,0.0,GOOD,100
PROD-0027,22155.0,22.22001,997.0742247537164,0.0,GOOD,100
PROD-0027,38563.0,22.479946,1715.4400533651633,0.0,GOOD,100
PROD-0028,25758.0,22.19456,1160.5547056415758,0.0,GOOD,100
PROD-0029,60431.0,22.42068,2695.3242473581004,0.0,GOOD,100
