product_id,warehouse_id,current_stock,inventory_days,alert_level,timestamp
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:33:22
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:33:22
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:33:22
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:33:48
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:33:48
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:33:48
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:33:58
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:33:58
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:33:58
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:34:08
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:34:08
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:34:08
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:34:18
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:34:18
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:34:18
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:34:28
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:34:28
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:34:28
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:34:38
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:34:38
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:34:38
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:34:48
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:34:48
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:34:48
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:34:58
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:34:58
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:34:58
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:35:08
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:35:08
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:35:08
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:35:18
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:35:18
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:35:18
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:35:28
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:35:28
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:35:28
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:35:38
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:35:38
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:35:38
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:35:48
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:35:48
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:35:48
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:35:58
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:35:58
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:35:58
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:36:08
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:36:08
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:36:08
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:36:18
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:36:18
103.0,2.0,250.0,6.25,WARNING,2026-03-09 22:36:18
101.0,1.0,50.0,2.5,CRITICAL,2026-03-09 22:36:29
102.0,1.0,150.0,5.0,WARNING,2026-03-09 22:36:29
