date,product_id,category,warehouse_id,supplier_id,daily_sales,revenue,is_disrupted
2022-01-01,PROD-0001,Electronics,WH-01,SUP-01,29.75,13389.98,False
2022-01-02,PROD-0001,Electronics,WH-01,SUP-01,23.82,10723.11,False
2022-01-03,PROD-0001,Electronics,WH-01,SUP-01,31.37,14120.42,False
2022-01-04,PROD-0001,Electronics,WH-01,SUP-01,42.62,19185.0,False
2022-01-05,PROD-0001,Electronics,WH-01,SUP-01,23.05,10373.47,False
2022-01-06,PROD-0001,Electronics,WH-01,SUP-01,23.05,10374.95,False
2022-01-07,PROD-0001,Electronics,WH-01,SUP-01,43.49,19574.03,False
2022-01-08,PROD-0001,Electronics,WH-01,SUP-01,32.73,14734.89,False
2022-01-09,PROD-0001,Electronics,WH-01,SUP-01,21.24,9558.56,False
2022-01-10,PROD-0001,Electronics,WH-01,SUP-01,30.27,13623.36,False
2022-01-11,PROD-0001,Electronics,WH-01,SUP-01,21.29,9581.47,False
2022-01-12,PROD-0001,Electronics,WH-01,SUP-01,21.27,9575.03,False
2022-01-13,PROD-0001,Electronics,WH-01,SUP-01,27.25,12267.92,False
2022-01-14,PROD-0001,Electronics,WH-01,SUP-01,12.82,5770.68,False
2022-01-15,PROD-0001,Electronics,WH-01,SUP-01,13.7,6164.79,False
2022-01-16,PROD-0001,Electronics,WH-01,SUP-01,20.58,9261.92,False
2022-01-17,PROD-0001,Electronics,WH-01,SUP-01,17.58,7911.82,False
2022-01-18,PROD-0001,Electronics,WH-01,SUP-01,27.97,12590.87,False
2022-01-19,PROD-0001,Electronics,WH-01,SUP-01,18.24,8209.68,False
2022-01-20,PROD-0001,Electronics,WH-01,SUP-01,15.29,6882.3,False
2022-01-21,PROD-0001,Electronics,WH-01,SUP-01,41.87,18847.35,False
2022-01-22,PROD-0001,Electronics,WH-01,SUP-01,23.17,10428.17,False
2022-01-23,PROD-0001,Electronics,WH-01,SUP-01,25.68,11557.14,False
2022-01-24,PROD-0001,Electronics,WH-01,SUP-01,15.23,6856.13,False
2022-01-25,PROD-0001,Electronics,WH-01,SUP-01,20.73,9331.62,False
